    intensity      density
1       -19.9 0.0240663301
2       -19.7 0.0234814341
3       -19.5 0.0235147208
4       -19.3 0.0247225548
5       -19.1 0.0262917880
6       -18.9 0.0289119318
7       -18.7 0.0288073162
8       -18.5 0.0297678771
9       -18.3 0.0308235431
10      -18.1 0.0315748729
11      -17.9 0.0323214474
12      -17.7 0.0321217268
13      -17.5 0.0347323602
14      -17.3 0.0355978160
15      -17.1 0.0365441111
16      -16.9 0.0395874724
17      -16.7 0.0388741846
18      -16.5 0.0392308285
19      -16.3 0.0407525091
20      -16.1 0.0413278946
21      -15.9 0.0404101310
22      -15.7 0.0448039838
23      -15.5 0.0460070625
24      -15.3 0.0474383933
25      -15.1 0.0486842693
26      -14.9 0.0524837156
27      -14.7 0.0504769993
28      -14.5 0.0523125266
29      -14.3 0.0537723889
30      -14.1 0.0528403595
31      -13.9 0.0574767302
32      -13.7 0.0598305799
33      -13.5 0.0608149170
34      -13.3 0.0631545010
35      -13.1 0.0661170229
36      -12.9 0.0698641615
37      -12.7 0.0696216436
38      -12.5 0.0715617864
39      -12.3 0.0729645857
40      -12.1 0.0718185700
41      -11.9 0.0772348020
42      -11.7 0.0787612378
43      -11.5 0.0795410992
44      -11.3 0.0805587231
45      -11.1 0.0804969048
46      -10.9 0.0855612481
47      -10.7 0.0806062756
48      -10.5 0.0797693513
49      -10.3 0.0748999733
50      -10.1 0.0777626349
51       -9.9 0.0765785772
52       -9.7 0.0744624901
53       -9.5 0.0723559135
54       -9.3 0.0706725543
55       -9.1 0.0690938107
56       -8.9 0.0721324166
57       -8.7 0.0678194031
58       -8.5 0.0646286291
59       -8.3 0.0663928276
60       -8.1 0.0642386984
61       -7.9 0.0639010755
62       -7.7 0.0608149170
63       -7.5 0.0571295968
64       -7.3 0.0514232945
65       -7.1 0.0471530782
66       -6.9 0.0434534922
67       -6.7 0.0350034095
68       -6.5 0.0331869033
69       -6.3 0.0319220063
70       -6.1 0.0296489958
71       -5.9 0.0298296954
72       -5.7 0.0309519349
73       -5.5 0.0325496995
74       -5.3 0.0334151554
75       -5.1 0.0355645292
76       -4.9 0.0380610365
77       -4.7 0.0422599240
78       -4.5 0.0469818891
79       -4.3 0.0529592408
80       -4.1 0.0579807869
81       -3.9 0.0650803780
82       -3.7 0.0720658431
83       -3.5 0.0797550855
84       -3.3 0.0846434845
85       -3.1 0.0887139802
86       -2.9 0.0902641923
87       -2.7 0.0848384498
88       -2.5 0.0767545215
89       -2.3 0.0635586974
90       -2.1 0.0511379793
91       -1.9 0.0370576784
92       -1.7 0.0251505275
93       -1.5 0.0166433818
94       -1.3 0.0100145606
95       -1.1 0.0054590292
96       -0.9 0.0028151091
97       -0.7 0.0014170651
98       -0.5 0.0007703508
99       -0.3 0.0003566439
100      -0.1 0.0002377626
